angle,velocity,label
6.743485271,35.93169672,1
-0.631518471,35.39666585,1
-12.4042119,34.78932918,1
66.29619939,33.72813155,1
0.502657529,34.17061969,1
7.570064168,33.40990943,1
88.87316162,33.3903185,1
63.86535884,33.23371542,1
-75.53341119,35.61251144,1
77.13976277,35.49115018,1
50.21704931,34.85494251,1
36.3785404,33.97631601,1
-2.80639136,35.35281763,1
-78.01165346,34.13350312,1
72.76512975,35.54451896,1
-42.87614882,33.95249696,1
-13.06598889,35.64479494,1
-56.68319868,33.46576546,1
87.00669502,33.50915243,1
-9.40968512,34.32377053,1
46.95900697,33.90288226,1
85.96942173,34.96241289,1
-83.24928848,32.77539316,1
51.58441254,33.63660292,1
-36.90364236,34.38730965,1
29.30471661,35.70335806,1
-68.41490343,34.91315457,1
80.28528422,35.9186276,1
-63.95491862,35.24296482,1
3.722129543,34.55236118,1
-46.64933918,34.80014296,1
-82.38450141,33.53117337,1
-4.315125722,32.70813034,1
71.99912117,34.4829466,1
62.75142593,35.42012221,1
12.05067614,35.17291898,1
-52.39951236,33.32708601,1
-50.51981233,35.78054038,1
56.47395299,34.07682038,1
-71.74770974,33.01323053,1
58.07799891,34.93219141,1
67.39028315,32.86901646,1
-73.2160948,34.30475497,1
-49.62475131,33.6669601,1
75.51449963,34.02777319,1
-23.41503695,35.56961092,1
-60.60982992,34.44184513,1
-62.5017174,35.81362219,1
-32.62228189,34.43685302,1
45.31411168,35.13989311,1
39.26734464,34.6127745,1
-6.010718351,35.4685574,1
53.20959368,34.10687717,1
-65.18252917,35.05873492,1
-76.00444023,35.00425484,1
-86.8412968,35.97795243,1
68.6403572,35.20402136,1
34.29395805,35.84629334,1
78.90084454,33.05510996,1
-47.57466162,35.09355661,1
82.87563299,35.72747047,1
-44.52273619,33.84085725,1
-40.15484675,34.68858213,1
3.418834198,33.81754067,1
-16.8940908,35.33637537,1
-16.8940908,35.14838339,1
-16.8940908,35.71336466,1
-16.8940908,34.55861519,1
-16.8940908,34.7453432,1
-16.8940908,35.88445066,1
-16.8940908,35.52307549,1
-16.8940908,34.87135758,1
13.59421786,35.25847617,1
13.59421786,35.54202344,1
13.59421786,34.89104472,1
13.59421786,35.81010866,1
13.59421786,35.12079649,1
13.59421786,34.76143829,1
13.59421786,35.70371257,1
81.58990706,34.70337302,1
81.58990706,34.95219544,1
81.58990706,34.30862332,1
81.58990706,33.8073262,1
81.58990706,33.07014211,1
81.58990706,32.97547418,1
81.58990706,35.66370681,1
81.58990706,32.7548081,1
81.58990706,35.13440221,1
81.58990706,35.53257002,1
81.58990706,35.85548473,1
81.58990706,33.65567435,1
81.58990706,33.54813643,1
81.58990706,34.05779124,1
81.58990706,35.38612243,1
81.58990706,34.42916133,1
81.58990706,33.33134581,1
32.49147777,35.38657631,1
32.49147777,34.8851515,1
32.49147777,35.18758776,1
32.49147777,35.95097492,1
32.49147777,34.68174228,1
32.49147777,34.5764747,1
32.49147777,35.49918952,1
32.49147777,35.73632927,1
6.743485271,33.08639119,1
6.743485271,33.66701075,1
6.743485271,34.02292628,1
6.743485271,35.86849083,1
6.743485271,35.79482244,1
6.743485271,33.20802719,1
6.743485271,34.39070198,1
6.743485271,35.18495677,1
6.743485271,35.35002812,1
6.743485271,34.44820636,1
6.743485271,34.98058117,1
6.743485271,33.42571581,1
6.743485271,33.93337557,1
6.743485271,34.78231259,1
6.743485271,35.56470148,1
-0.631518471,33.62257673,1
-0.631518471,35.14492712,1
-0.631518471,34.30068075,1
-0.631518471,34.97704162,1
-0.631518471,34.16269521,1
-0.631518471,34.57405302,1
-0.631518471,33.35061296,1
-0.631518471,33.10553232,1
-0.631518471,35.31190157,1
-0.631518471,35.5537329,1
-0.631518471,34.79417587,1
-0.631518471,33.87476693,1
-0.631518471,32.56415372,1
-0.631518471,32.94265269,1
-0.631518471,33.4456478,1
-0.631518471,32.76870643,1
-0.631518471,35.66040114,1
-0.631518471,35.81784048,1
-12.4042119,34.10449718,1
-12.4042119,35.68561506,1
-12.4042119,35.09253889,1
-12.4042119,35.54304165,1
-12.4042119,35.98968805,1
-12.4042119,34.94678673,1
-12.4042119,34.56979448,1
-12.4042119,34.78770467,1
-12.4042119,35.24076762,1
-12.4042119,33.93805753,1
-12.4042119,34.25653424,1
66.29619939,34.50836296,1
66.29619939,32.75173001,1
66.29619939,35.33213309,1
66.29619939,34.97754823,1
66.29619939,34.37194164,1
66.29619939,33.89232454,1
66.29619939,33.37134249,1
66.29619939,35.9359729,1
66.29619939,35.19387911,1
66.29619939,33.66219442,1
66.29619939,33.15542153,1
66.29619939,32.87126899,1
66.29619939,34.75661073,1
66.29619939,33.47696714,1
66.29619939,34.11171439,1
66.29619939,35.41681267,1
66.29619939,35.60538399,1
0.502657529,33.91634292,1
0.502657529,32.78163762,1
0.502657529,32.88407997,1
0.502657529,34.28502334,1
0.502657529,34.43190061,1
0.502657529,35.15361128,1
0.502657529,33.66094308,1
0.502657529,35.6877955,1
0.502657529,33.13951764,1
0.502657529,35.59386144,1
0.502657529,34.10022218,1
0.502657529,32.58014777,1
0.502657529,35.34178975,1
0.502657529,34.88092273,1
0.502657529,33.22591555,1
